transaction_id,source_account,destination_account,amount,timestamp
TXN_001079,ACC_0282,ACC_0075,2788.45,2026-01-20 14:14:21.991250
TXN_003881,ACC_0234,ACC_0114,2906.69,2026-01-20 14:27:32.786913
TXN_009770,ACC_0385,ACC_0010,863.42,2026-01-20 14:29:15.585287
TXN_009433,ACC_0331,ACC_0292,125.15,2026-01-20 14:31:22.055353
TXN_000489,ACC_0185,ACC_0412,932.06,2026-01-20 14:33:04.085817
TXN_001586,ACC_0252,ACC_0002,2684.15,2026-01-20 14:34:23.766508
TXN_004207,ACC_0404,ACC_0227,2953.25,2026-01-20 14:47:49.074614
TXN_007254,ACC_0403,ACC_0146,4844.83,2026-01-20 14:53:39.981700
TXN_006359,ACC_0323,ACC_0169,4741.3,2026-01-20 14:57:18.565878
TXN_007283,ACC_0182,ACC_0288,4205.97,2026-01-20 15:00:10.575149
TXN_005644,ACC_0351,ACC_0199,2689.15,2026-01-20 15:00:19.399834
TXN_002330,ACC_0124,ACC_0321,4180.93,2026-01-20 15:08:15.094322
TXN_004370,ACC_0061,ACC_0319,2970.09,2026-01-20 15:08:28.952586
TXN_007278,ACC_0282,ACC_0016,2456.09,2026-01-20 15:08:52.456813
TXN_006186,ACC_0115,ACC_0310,1177.17,2026-01-20 15:12:40.286299
TXN_004881,ACC_0013,ACC_0206,3858.94,2026-01-20 15:17:42.749471
TXN_001400,ACC_0455,ACC_0237,857.87,2026-01-20 15:17:49.155603
TXN_005904,ACC_0107,ACC_0414,2077.66,2026-01-20 15:18:37.943918
TXN_001540,ACC_0045,ACC_0064,1532.01,2026-01-20 15:21:35.458715
TXN_009128,ACC_0188,ACC_0327,2249.08,2026-01-20 15:22:17.397843
TXN_002922,ACC_0174,ACC_0118,1264.11,2026-01-20 15:27:40.637536
TXN_008398,ACC_0129,ACC_0306,3638.16,2026-01-20 15:36:56.767381
TXN_007389,ACC_0232,ACC_0334,4414.86,2026-01-20 15:42:06.236494
TXN_009233,ACC_0234,ACC_0097,1788.2,2026-01-20 15:47:47.414769
TXN_005611,ACC_0084,ACC_0341,1881.77,2026-01-20 15:56:59.182519
TXN_003775,ACC_0427,ACC_0345,204.5,2026-01-20 16:05:17.398864
TXN_009692,ACC_0156,ACC_0091,4476.08,2026-01-20 16:09:13.995885
TXN_003537,ACC_0014,ACC_0443,2608.39,2026-01-20 16:25:26.678470
TXN_000559,ACC_0250,ACC_0261,3114.33,2026-01-20 16:26:01.030493
TXN_000459,ACC_0083,ACC_0086,2148.41,2026-01-20 16:27:59.717601
TXN_006674,ACC_0332,ACC_0116,3833.93,2026-01-20 16:32:02.793595
TXN_004699,ACC_0223,ACC_0411,3047.84,2026-01-20 16:43:58.354591
TXN_004286,ACC_0419,ACC_0084,3971.03,2026-01-20 16:53:01.926647
TXN_007597,ACC_0428,ACC_0227,536.58,2026-01-20 16:56:16.668280
TXN_008211,ACC_0436,ACC_0049,4853.21,2026-01-20 17:01:33.785797
TXN_002059,ACC_0332,ACC_0188,4659.07,2026-01-20 17:06:47.791723
TXN_004883,ACC_0403,ACC_0220,1918.32,2026-01-20 17:09:41.957839
TXN_006774,ACC_0264,ACC_0149,2924.05,2026-01-20 17:17:06.813442
TXN_007463,ACC_0228,ACC_0330,1989.09,2026-01-20 17:18:15.229552
TXN_003394,ACC_0274,ACC_0412,4043.02,2026-01-20 17:25:09.239467
TXN_001021,ACC_0407,ACC_0409,1238.12,2026-01-20 17:30:35.137825
TXN_007511,ACC_0195,ACC_0005,766.95,2026-01-20 17:33:23.803565
TXN_001804,ACC_0186,ACC_0108,2610.05,2026-01-20 17:37:01.450891
TXN_006151,ACC_0281,ACC_0394,3090.48,2026-01-20 17:40:22.616022
TXN_006756,ACC_0148,ACC_0027,2236.74,2026-01-20 17:42:43.630020
TXN_001682,ACC_0126,ACC_0334,3410.19,2026-01-20 17:43:14.301373
TXN_004385,ACC_0341,ACC_0233,4439.98,2026-01-20 17:50:22.076554
TXN_006759,ACC_0310,ACC_0140,2315.8,2026-01-20 17:51:47.334521
TXN_000078,ACC_0475,ACC_0471,5689.94,2026-01-20 17:56:08.338846
TXN_004146,ACC_0101,ACC_0420,4222.28,2026-01-20 17:58:05.300631
TXN_001723,ACC_0277,ACC_0140,3818.8,2026-01-20 18:02:27.512392
TXN_009844,ACC_0235,ACC_0057,1292.12,2026-01-20 18:05:30.138694
TXN_006855,ACC_0317,ACC_0187,1734.96,2026-01-20 18:07:21.753727
TXN_002675,ACC_0270,ACC_0035,3178.09,2026-01-20 18:08:48.796305
TXN_006791,ACC_0468,ACC_0370,1110.06,2026-01-20 18:09:34.940031
TXN_002038,ACC_0325,ACC_0301,2234.42,2026-01-20 18:09:50.594983
TXN_006043,ACC_0278,ACC_0328,1257.17,2026-01-20 18:19:36.581317
TXN_005494,ACC_0199,ACC_0322,2614.77,2026-01-20 18:29:48.500919
TXN_009124,ACC_0250,ACC_0233,2851.76,2026-01-20 18:36:06.655724
TXN_002349,ACC_0356,ACC_0231,4063.0,2026-01-20 18:36:20.144249
TXN_003975,ACC_0258,ACC_0322,3005.67,2026-01-20 18:38:25.494542
TXN_002317,ACC_0257,ACC_0451,2477.1,2026-01-20 18:48:53.016031
TXN_000019,ACC_0485,ACC_0481,9186.71,2026-01-20 18:51:23.433840
TXN_007157,ACC_0462,ACC_0417,1000.62,2026-01-20 18:51:51.040344
TXN_002757,ACC_0031,ACC_0231,2033.67,2026-01-20 18:51:55.728397
TXN_001185,ACC_0179,ACC_0166,3289.15,2026-01-20 18:56:19.647846
TXN_004612,ACC_0448,ACC_0059,418.3,2026-01-20 19:01:46.198797
TXN_006427,ACC_0309,ACC_0376,1570.27,2026-01-20 19:17:13.168148
TXN_007824,ACC_0419,ACC_0209,4336.65,2026-01-20 19:20:19.110555
TXN_002428,ACC_0317,ACC_0126,2466.41,2026-01-20 19:20:55.158960
TXN_002479,ACC_0235,ACC_0019,3301.99,2026-01-20 19:25:45.706541
TXN_004320,ACC_0085,ACC_0190,1453.71,2026-01-20 19:31:47.510625
TXN_004851,ACC_0211,ACC_0470,2277.82,2026-01-20 19:33:15.573845
TXN_009182,ACC_0364,ACC_0041,3767.2,2026-01-20 19:35:49.803146
TXN_001161,ACC_0058,ACC_0175,3502.22,2026-01-20 19:36:04.002624
TXN_007889,ACC_0074,ACC_0461,3759.66,2026-01-20 19:40:49.326753
TXN_006190,ACC_0388,ACC_0260,2794.22,2026-01-20 19:41:34.587625
TXN_004538,ACC_0166,ACC_0135,1051.1,2026-01-20 19:46:45.628546
TXN_007858,ACC_0368,ACC_0350,3138.83,2026-01-20 19:52:00.780595
TXN_008510,ACC_0419,ACC_0145,2117.14,2026-01-20 19:54:27.561921
TXN_007841,ACC_0013,ACC_0204,1492.6,2026-01-20 19:56:33.457990
TXN_003059,ACC_0187,ACC_0083,3946.16,2026-01-20 19:59:24.186205
TXN_006239,ACC_0364,ACC_0117,1997.39,2026-01-20 20:00:08.893277
TXN_000655,ACC_0218,ACC_0081,1779.06,2026-01-20 20:10:48.487605
TXN_001779,ACC_0375,ACC_0119,1487.54,2026-01-20 20:14:43.315399
TXN_006004,ACC_0459,ACC_0441,4581.8,2026-01-20 20:24:18.073989
TXN_007203,ACC_0073,ACC_0038,3304.03,2026-01-20 20:24:36.498614
TXN_002296,ACC_0394,ACC_0430,3547.91,2026-01-20 20:29:15.661592
TXN_001241,ACC_0320,ACC_0241,3843.34,2026-01-20 20:30:59.011686
TXN_006695,ACC_0428,ACC_0262,2657.88,2026-01-20 20:39:36.209989
TXN_000273,ACC_0342,ACC_0495,7492.63,2026-01-20 20:40:21.529420
TXN_006033,ACC_0253,ACC_0470,890.1,2026-01-20 20:56:15.881943
TXN_005229,ACC_0407,ACC_0342,3256.16,2026-01-20 20:58:09.662379
TXN_001325,ACC_0459,ACC_0399,1357.37,2026-01-20 21:01:41.020297
TXN_009918,ACC_0262,ACC_0110,3597.77,2026-01-20 21:02:00.027524
TXN_007696,ACC_0136,ACC_0022,1132.12,2026-01-20 21:06:03.655210
TXN_009337,ACC_0160,ACC_0336,3874.67,2026-01-20 21:13:06.918694
TXN_002587,ACC_0290,ACC_0271,3965.53,2026-01-20 21:29:22.160320
TXN_002506,ACC_0074,ACC_0006,3959.59,2026-01-20 21:29:35.380737
TXN_000274,ACC_0495,ACC_0367,7118.0,2026-01-20 21:32:18.039824
TXN_009511,ACC_0347,ACC_0086,3099.79,2026-01-20 21:35:54.569376
TXN_008300,ACC_0014,ACC_0002,3594.96,2026-01-20 21:44:38.225723
TXN_009710,ACC_0312,ACC_0027,3786.11,2026-01-20 21:45:34.460219
TXN_009789,ACC_0252,ACC_0190,4979.45,2026-01-20 21:45:49.502673
TXN_004757,ACC_0246,ACC_0371,2522.76,2026-01-20 21:53:44.332570
TXN_005710,ACC_0137,ACC_0131,3763.73,2026-01-20 22:05:54.306603
TXN_003160,ACC_0196,ACC_0163,4548.82,2026-01-20 22:09:41.619008
TXN_008801,ACC_0423,ACC_0450,1576.3,2026-01-20 22:09:42.633010
TXN_002182,ACC_0418,ACC_0070,3932.01,2026-01-20 22:10:08.906385
TXN_004118,ACC_0016,ACC_0347,3618.15,2026-01-20 22:11:09.425577
TXN_002834,ACC_0404,ACC_0293,3749.98,2026-01-20 22:11:25.453251
TXN_002213,ACC_0237,ACC_0358,391.09,2026-01-20 22:13:03.461658
TXN_004791,ACC_0043,ACC_0438,4448.99,2026-01-20 22:13:51.998399
TXN_000929,ACC_0354,ACC_0204,313.4,2026-01-20 22:15:30.643084
TXN_009621,ACC_0452,ACC_0011,4886.8,2026-01-20 22:16:22.815306
TXN_009712,ACC_0052,ACC_0126,1092.37,2026-01-20 22:32:59.132627
TXN_001814,ACC_0059,ACC_0166,516.67,2026-01-20 22:35:41.653733
TXN_009505,ACC_0182,ACC_0042,4215.94,2026-01-20 22:37:59.303813
TXN_001314,ACC_0331,ACC_0305,738.32,2026-01-20 22:41:35.705170
TXN_009699,ACC_0162,ACC_0084,3569.54,2026-01-20 22:41:51.647527
TXN_008810,ACC_0034,ACC_0301,4748.21,2026-01-20 22:42:03.755947
TXN_007427,ACC_0434,ACC_0203,760.07,2026-01-20 22:46:49.332848
TXN_000015,ACC_0484,ACC_0485,20073.01,2026-01-20 22:51:10.072018
TXN_009205,ACC_0177,ACC_0283,4041.53,2026-01-20 22:55:31.966880
TXN_001828,ACC_0338,ACC_0103,4213.55,2026-01-20 22:59:22.417042
TXN_003292,ACC_0181,ACC_0213,255.44,2026-01-20 23:03:45.942701
TXN_007525,ACC_0361,ACC_0278,1671.08,2026-01-20 23:05:26.336137
TXN_005124,ACC_0155,ACC_0011,1425.71,2026-01-20 23:05:36.898042
TXN_003113,ACC_0136,ACC_0147,1898.05,2026-01-20 23:07:04.208547
TXN_004142,ACC_0446,ACC_0456,2286.16,2026-01-20 23:08:27.307266
TXN_007100,ACC_0195,ACC_0463,2669.59,2026-01-20 23:11:31.454495
TXN_007979,ACC_0085,ACC_0264,1089.8,2026-01-20 23:21:13.593182
TXN_007271,ACC_0348,ACC_0052,447.64,2026-01-20 23:29:55.686986
TXN_000899,ACC_0376,ACC_0463,4543.76,2026-01-20 23:39:25.565321
TXN_000412,ACC_0428,ACC_0099,3226.94,2026-01-20 23:42:53.074264
TXN_001208,ACC_0086,ACC_0284,1535.74,2026-01-20 23:47:56.569978
TXN_007207,ACC_0048,ACC_0055,3447.36,2026-01-20 23:48:36.543583
TXN_007537,ACC_0210,ACC_0315,2509.5,2026-01-20 23:53:48.130763
TXN_009821,ACC_0074,ACC_0282,4782.2,2026-01-20 23:55:21.544444
TXN_001776,ACC_0053,ACC_0061,3739.7,2026-01-20 23:59:46.731953
TXN_007499,ACC_0339,ACC_0399,3502.85,2026-01-21 00:00:06.669765
TXN_002171,ACC_0348,ACC_0416,3101.2,2026-01-21 00:04:35.021703
TXN_004068,ACC_0190,ACC_0050,3931.92,2026-01-21 00:10:11.182232
TXN_001154,ACC_0330,ACC_0290,3466.05,2026-01-21 00:19:02.252590
TXN_006098,ACC_0419,ACC_0452,987.36,2026-01-21 00:26:14.020360
TXN_004797,ACC_0261,ACC_0071,2588.2,2026-01-21 00:29:13.645859
TXN_008284,ACC_0151,ACC_0207,398.97,2026-01-21 00:37:06.514330
TXN_007199,ACC_0136,ACC_0356,3955.34,2026-01-21 00:50:36.272079
TXN_000011,ACC_0483,ACC_0484,24821.3,2026-01-21 00:50:49.840229
TXN_005908,ACC_0404,ACC_0145,4221.51,2026-01-21 00:53:13.941919
TXN_008203,ACC_0397,ACC_0226,4195.17,2026-01-21 00:54:14.485560
TXN_000892,ACC_0037,ACC_0119,461.25,2026-01-21 00:54:19.936308
TXN_002277,ACC_0468,ACC_0449,3701.01,2026-01-21 00:56:06.295479
TXN_008423,ACC_0440,ACC_0189,1717.98,2026-01-21 00:58:28.718620
TXN_001762,ACC_0003,ACC_0228,4414.98,2026-01-21 01:13:00.607308
TXN_008941,ACC_0141,ACC_0387,1188.13,2026-01-21 01:19:40.478242
TXN_004034,ACC_0202,ACC_0091,4598.44,2026-01-21 01:24:16.560749
TXN_001156,ACC_0303,ACC_0262,3493.81,2026-01-21 01:25:28.743464
TXN_007060,ACC_0027,ACC_0355,4512.46,2026-01-21 01:30:47.225051
TXN_007735,ACC_0332,ACC_0444,4009.12,2026-01-21 01:35:33.082540
TXN_008316,ACC_0349,ACC_0444,1416.99,2026-01-21 01:35:35.239365
TXN_002949,ACC_0343,ACC_0001,4636.23,2026-01-21 01:36:35.421737
TXN_003367,ACC_0366,ACC_0377,1530.41,2026-01-21 01:43:51.053573
TXN_008647,ACC_0339,ACC_0335,2086.17,2026-01-21 01:44:36.607117
TXN_000662,ACC_0154,ACC_0007,2556.26,2026-01-21 01:44:58.082208
TXN_001580,ACC_0372,ACC_0347,4733.96,2026-01-21 01:45:25.388418
TXN_005996,ACC_0400,ACC_0151,3309.76,2026-01-21 01:45:42.339686
TXN_009657,ACC_0212,ACC_0135,2868.28,2026-01-21 01:56:18.857665
TXN_003701,ACC_0195,ACC_0064,2507.76,2026-01-21 01:58:26.384695
TXN_007197,ACC_0405,ACC_0467,3241.39,2026-01-21 02:09:11.702000
TXN_007864,ACC_0013,ACC_0147,1953.72,2026-01-21 02:18:52.279789
TXN_000584,ACC_0202,ACC_0319,1557.01,2026-01-21 02:24:53.812689
TXN_007433,ACC_0228,ACC_0125,1263.3,2026-01-21 02:26:00.768618
TXN_001145,ACC_0225,ACC_0318,1933.16,2026-01-21 02:30:10.504992
TXN_002031,ACC_0275,ACC_0079,4098.4,2026-01-21 02:30:27.727893
TXN_004120,ACC_0216,ACC_0170,2024.54,2026-01-21 02:37:35.209607
TXN_007808,ACC_0036,ACC_0153,2267.94,2026-01-21 02:38:43.396800
TXN_002122,ACC_0377,ACC_0007,4627.21,2026-01-21 02:40:59.509122
TXN_009072,ACC_0158,ACC_0074,1121.1,2026-01-21 02:48:35.773199
TXN_002514,ACC_0378,ACC_0371,2647.4,2026-01-21 02:50:25.484760
TXN_004264,ACC_0070,ACC_0111,2684.45,2026-01-21 02:51:07.624460
TXN_004953,ACC_0378,ACC_0430,1165.35,2026-01-21 03:00:52.373939
TXN_009488,ACC_0012,ACC_0376,4243.04,2026-01-21 03:01:23.236029
TXN_003704,ACC_0002,ACC_0031,2251.37,2026-01-21 03:08:40.824738
TXN_005755,ACC_0412,ACC_0092,3210.07,2026-01-21 03:12:07.777958
TXN_002183,ACC_0159,ACC_0119,1334.55,2026-01-21 03:15:03.819417
TXN_002850,ACC_0399,ACC_0373,3473.61,2026-01-21 03:19:15.824833
TXN_005308,ACC_0385,ACC_0031,2565.02,2026-01-21 03:22:20.613766
TXN_007851,ACC_0194,ACC_0406,312.46,2026-01-21 03:25:51.628620
TXN_009024,ACC_0461,ACC_0401,4285.12,2026-01-21 03:27:14.237490
TXN_002425,ACC_0188,ACC_0072,4302.06,2026-01-21 03:32:32.237375
TXN_005740,ACC_0291,ACC_0324,4198.31,2026-01-21 03:38:48.969662
TXN_007422,ACC_0265,ACC_0255,2141.81,2026-01-21 03:43:28.397616
TXN_005107,ACC_0348,ACC_0006,1029.65,2026-01-21 03:44:49.402202
TXN_005632,ACC_0405,ACC_0267,2459.54,2026-01-21 03:50:19.525227
TXN_007967,ACC_0190,ACC_0045,4516.58,2026-01-21 04:00:52.824833
TXN_003872,ACC_0101,ACC_0063,4859.82,2026-01-21 04:10:57.924019
TXN_004440,ACC_0023,ACC_0301,485.95,2026-01-21 04:12:06.393474
TXN_003213,ACC_0294,ACC_0404,3732.19,2026-01-21 04:12:50.088798
TXN_003714,ACC_0457,ACC_0138,668.91,2026-01-21 04:20:14.054374
TXN_009870,ACC_0032,ACC_0285,502.49,2026-01-21 04:20:54.415361
TXN_001768,ACC_0093,ACC_0216,340.69,2026-01-21 04:21:28.750940
TXN_009778,ACC_0091,ACC_0154,1652.67,2026-01-21 04:25:29.876633
TXN_009281,ACC_0214,ACC_0040,3560.18,2026-01-21 04:43:48.109066
TXN_005606,ACC_0061,ACC_0296,944.6,2026-01-21 04:50:43.443224
TXN_009449,ACC_0268,ACC_0056,4210.99,2026-01-21 04:58:29.338179
TXN_007805,ACC_0117,ACC_0361,3938.73,2026-01-21 05:03:54.014434
TXN_002826,ACC_0075,ACC_0067,1037.68,2026-01-21 05:05:15.566057
TXN_009175,ACC_0161,ACC_0207,3734.35,2026-01-21 05:08:03.175697
TXN_008847,ACC_0169,ACC_0305,4247.25,2026-01-21 05:11:06.559114
TXN_009898,ACC_0190,ACC_0412,3107.53,2026-01-21 05:16:42.106810
TXN_001699,ACC_0424,ACC_0330,3991.85,2026-01-21 05:23:06.662938
TXN_002445,ACC_0176,ACC_0182,3203.88,2026-01-21 05:27:30.514346
TXN_006762,ACC_0246,ACC_0008,1918.51,2026-01-21 05:28:59.862087
TXN_006227,ACC_0279,ACC_0068,2081.45,2026-01-21 05:31:03.100298
TXN_008716,ACC_0362,ACC_0418,1833.83,2026-01-21 05:35:16.835184
TXN_008005,ACC_0193,ACC_0340,3195.29,2026-01-21 05:38:36.114255
TXN_007413,ACC_0253,ACC_0084,3915.07,2026-01-21 05:53:06.404245
TXN_001641,ACC_0265,ACC_0437,3867.22,2026-01-21 06:13:13.999614
TXN_000990,ACC_0379,ACC_0375,3149.12,2026-01-21 06:13:58.808783
TXN_006963,ACC_0442,ACC_0142,560.76,2026-01-21 06:19:37.101076
TXN_009766,ACC_0011,ACC_0128,505.5,2026-01-21 06:22:59.283887
TXN_005630,ACC_0046,ACC_0264,274.0,2026-01-21 06:23:58.182155
TXN_006291,ACC_0394,ACC_0058,2575.78,2026-01-21 06:25:32.205074
TXN_004296,ACC_0160,ACC_0198,4486.6,2026-01-21 06:27:06.370424
TXN_007543,ACC_0284,ACC_0110,3026.64,2026-01-21 06:29:37.427334
TXN_009388,ACC_0400,ACC_0085,4659.99,2026-01-21 06:42:03.882438
TXN_006775,ACC_0191,ACC_0368,3247.8,2026-01-21 06:43:37.872863
TXN_002395,ACC_0001,ACC_0287,3991.35,2026-01-21 06:45:51.617568
TXN_001729,ACC_0231,ACC_0176,717.67,2026-01-21 06:47:30.008002
TXN_008970,ACC_0453,ACC_0105,2966.61,2026-01-21 06:51:34.778035
TXN_006670,ACC_0333,ACC_0186,3417.59,2026-01-21 06:52:57.222315
TXN_006829,ACC_0248,ACC_0276,2495.07,2026-01-21 06:55:45.987819
TXN_009278,ACC_0124,ACC_0188,4889.44,2026-01-21 06:56:12.918562
TXN_005319,ACC_0249,ACC_0332,3047.69,2026-01-21 06:57:59.595437
TXN_007534,ACC_0185,ACC_0116,3172.64,2026-01-21 06:59:47.499688
TXN_002680,ACC_0393,ACC_0011,1878.86,2026-01-21 07:01:46.019144
TXN_001962,ACC_0143,ACC_0218,2511.55,2026-01-21 07:05:47.672183
TXN_004340,ACC_0092,ACC_0302,3575.83,2026-01-21 07:09:03.558043
TXN_000997,ACC_0338,ACC_0252,3338.54,2026-01-21 07:14:53.179198
TXN_000544,ACC_0232,ACC_0324,608.88,2026-01-21 07:18:47.044778
TXN_005707,ACC_0302,ACC_0021,4775.35,2026-01-21 07:22:36.778354
TXN_006971,ACC_0260,ACC_0440,993.04,2026-01-21 07:36:31.078932
TXN_006817,ACC_0287,ACC_0184,433.06,2026-01-21 07:42:01.229535
TXN_005980,ACC_0407,ACC_0183,4976.29,2026-01-21 07:44:31.425296
TXN_002448,ACC_0136,ACC_0241,984.12,2026-01-21 07:47:59.619118
TXN_003648,ACC_0342,ACC_0115,4165.41,2026-01-21 07:58:08.460035
TXN_004613,ACC_0012,ACC_0369,1801.95,2026-01-21 07:58:17.591729
TXN_003269,ACC_0335,ACC_0301,4124.67,2026-01-21 08:09:02.903582
TXN_004260,ACC_0343,ACC_0142,4808.68,2026-01-21 08:14:47.482847
TXN_002590,ACC_0364,ACC_0277,1254.6,2026-01-21 08:14:55.191604
TXN_002566,ACC_0131,ACC_0208,2541.48,2026-01-21 08:15:05.784137
TXN_009611,ACC_0077,ACC_0184,478.87,2026-01-21 08:19:08.850753
TXN_000906,ACC_0250,ACC_0264,2042.85,2026-01-21 08:23:24.969790
TXN_007188,ACC_0123,ACC_0440,1196.81,2026-01-21 08:27:51.601299
TXN_000905,ACC_0457,ACC_0469,361.67,2026-01-21 08:36:16.982176
TXN_004827,ACC_0193,ACC_0435,3761.49,2026-01-21 08:40:49.985024
TXN_004415,ACC_0035,ACC_0434,4491.62,2026-01-21 08:43:40.271980
TXN_001680,ACC_0231,ACC_0166,2199.98,2026-01-21 08:45:17.313375
TXN_007002,ACC_0198,ACC_0041,1401.16,2026-01-21 08:53:31.257865
TXN_000637,ACC_0309,ACC_0430,4593.07,2026-01-21 08:58:30.587013
TXN_006725,ACC_0294,ACC_0304,1231.09,2026-01-21 08:59:20.325441
TXN_002689,ACC_0415,ACC_0381,4678.24,2026-01-21 09:01:40.972448
TXN_005719,ACC_0394,ACC_0102,574.18,2026-01-21 09:03:18.482039
TXN_005687,ACC_0049,ACC_0424,286.23,2026-01-21 09:29:08.637929
TXN_001067,ACC_0457,ACC_0449,3629.77,2026-01-21 09:31:40.012039
TXN_009763,ACC_0132,ACC_0145,2415.58,2026-01-21 09:31:42.398238
TXN_007223,ACC_0136,ACC_0243,3735.58,2026-01-21 09:31:58.866059
TXN_008490,ACC_0155,ACC_0462,307.62,2026-01-21 09:33:40.097335
TXN_004800,ACC_0466,ACC_0014,2981.25,2026-01-21 09:34:52.637941
TXN_003353,ACC_0382,ACC_0017,4931.14,2026-01-21 09:42:42.116828
TXN_002149,ACC_0400,ACC_0322,793.56,2026-01-21 09:51:46.653179
TXN_006615,ACC_0122,ACC_0210,1341.8,2026-01-21 10:01:45.930782
TXN_007480,ACC_0044,ACC_0281,1934.43,2026-01-21 10:02:00.331692
TXN_004291,ACC_0293,ACC_0206,4862.1,2026-01-21 10:18:17.751096
TXN_006579,ACC_0042,ACC_0287,4672.79,2026-01-21 10:21:23.802966
TXN_001830,ACC_0338,ACC_0420,3551.67,2026-01-21 10:43:04.552632
TXN_001189,ACC_0142,ACC_0333,4345.75,2026-01-21 10:45:28.749724
TXN_002917,ACC_0226,ACC_0318,1162.94,2026-01-21 10:46:01.687707
TXN_007741,ACC_0150,ACC_0062,1312.65,2026-01-21 10:53:46.729385
TXN_000847,ACC_0164,ACC_0437,2610.41,2026-01-21 10:55:45.904737
TXN_009466,ACC_0029,ACC_0303,4300.65,2026-01-21 10:55:59.120876
TXN_001409,ACC_0389,ACC_0077,3428.47,2026-01-21 11:04:24.789779
TXN_007901,ACC_0176,ACC_0052,1432.22,2026-01-21 11:04:45.741376
TXN_005327,ACC_0127,ACC_0306,2076.86,2026-01-21 11:06:45.628556
TXN_000496,ACC_0460,ACC_0167,4502.26,2026-01-21 11:13:02.115255
TXN_009102,ACC_0439,ACC_0060,1305.38,2026-01-21 11:15:32.727115
TXN_008350,ACC_0379,ACC_0071,4803.94,2026-01-21 11:18:11.792188
TXN_006705,ACC_0447,ACC_0162,3992.45,2026-01-21 11:26:54.750934
TXN_002151,ACC_0137,ACC_0250,1532.94,2026-01-21 11:29:04.373472
TXN_008365,ACC_0189,ACC_0364,4157.35,2026-01-21 11:30:07.232061
TXN_007408,ACC_0365,ACC_0408,680.72,2026-01-21 11:40:33.356184
TXN_007484,ACC_0160,ACC_0443,3690.44,2026-01-21 11:44:13.510081
TXN_007102,ACC_0348,ACC_0157,121.23,2026-01-21 11:46:51.367651
TXN_007564,ACC_0145,ACC_0334,1574.79,2026-01-21 11:47:46.230195
TXN_004210,ACC_0079,ACC_0248,4151.71,2026-01-21 11:53:00.466325
TXN_005678,ACC_0282,ACC_0113,2189.77,2026-01-21 12:00:59.097776
TXN_008908,ACC_0272,ACC_0244,1987.83,2026-01-21 12:04:20.943886
TXN_004458,ACC_0455,ACC_0245,3710.23,2026-01-21 12:06:41.413665
TXN_004091,ACC_0055,ACC_0058,3245.57,2026-01-21 12:06:43.592541
TXN_008925,ACC_0174,ACC_0007,2361.6,2026-01-21 12:10:47.868810
TXN_005921,ACC_0099,ACC_0393,2750.86,2026-01-21 12:18:20.667345
TXN_008312,ACC_0100,ACC_0279,737.4,2026-01-21 12:20:18.090283
TXN_007548,ACC_0203,ACC_0166,3210.02,2026-01-21 12:20:27.549459
TXN_004164,ACC_0161,ACC_0040,3944.06,2026-01-21 12:20:59.675077
TXN_009404,ACC_0214,ACC_0463,1379.98,2026-01-21 12:21:57.321125
TXN_008520,ACC_0220,ACC_0233,4938.87,2026-01-21 12:25:33.722634
TXN_007174,ACC_0233,ACC_0391,4866.62,2026-01-21 12:25:37.455034
TXN_006379,ACC_0159,ACC_0362,4381.94,2026-01-21 12:31:07.284807
TXN_006909,ACC_0441,ACC_0338,2985.97,2026-01-21 12:37:15.484490
